EQP_ID,SR_CODE,CNTRWK_NM,DIA_CODE,PIPE_PRESS,PLINE_LT,COMPET_DE,QLTY_GRADE,MIN_DPH,MAX_DPH,AVG_DPH,coordinates
30108185,R,성남 분당지구 지역난방 열배관공사(제1공구),100,16,42.92,19931231,A,0.15,1.6,1.07,"[[127.1413489, 37.4148398, 40.38], [127.1413935, 37.4148331, 40.83], [127.1414015, 37.4148807, 40.83], [127.1417081, 37.4148157, 40.64], [127.1417679, 37.414803, 40.64]]"
30108240,R,2014년 분당사업소 열배관시설 유지보수공사,200,16,8.39,20160804,B,0.82,0.83,0.82,"[[127.1110197, 37.3493411, 53.431], [127.1110211, 37.3492655, 53.372]]"
30105820,S,성남 도촌지구 열배관공사,100,16,124.6,20071231,A,0.9,1.5,0.95,"[[127.1552523, 37.4150774, 61.07], [127.1554243, 37.4150712, 61.3], [127.1554318, 37.4151574, 61.54], [127.1554593, 37.4151573, 61.52], [127.1557709, 37.4150983, 61.4], [127.1560378, 37.4150434, 61.34], [127.1561119, 37.4150382, 61.59], [127.1561167, 37.4150043, 61.36], [127.156319, 37.4149785, 61.73], [127.1563162, 37.414927, 61.91], [127.1562858, 37.4148366, 62.071]]"
30104290,S,성남 도촌지구 열배관공사,350,16,33.53,20071231,A,1.0,1.0,1.0,"[[127.1508843, 37.4167248, 51.37], [127.1509191, 37.4167933, 51.45], [127.1509223, 37.4167991, 51.45], [127.1506672, 37.416888, 50.96]]"
30111474,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),150,16,1.26,19951231,A,0.28,0.28,0.28,"[[127.1091919, 37.3437016, 58.108], [127.1091776, 37.3437013, 58.108]]"
30103274,R,94 분당1공구 지역난방 열배관 추가공사,150,16,2.26,19951130,A,1.5,1.5,1.5,"[[127.1231894, 37.3695532, 58.74], [127.1232083, 37.3695669, 58.74]]"
30102636,R,성남 도촌지구 열배관공사,150,16,17.48,20071231,A,0.9,0.9,0.9,"[[127.1549755, 37.4174378, 59.08], [127.1550239, 37.4174354, 59.14], [127.1551729, 37.4174327, 59.38]]"
30117269,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),200,16,66.45,19951231,A,0.1,1.6,0.75,"[[127.1091776, 37.3437013, 58.108], [127.1091634, 37.343701, 58.108], [127.1091634, 37.343678, 58.108], [127.1086684, 37.3436749, 58.108], [127.1086638, 37.3435055, 58.108]]"
30117268,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),200,16,13.21,19951231,B,1.2,1.2,1.2,"[[127.1086574, 37.3435056, 58.172], [127.1086532, 37.3433866, 58.172]]"
30121569,S,94 분당1공구 지역난방 열배관 추가공사,80,16,79.38,19951130,B,0.16,1.57,0.72,"[[127.1405387, 37.4111831, 50.905], [127.1405663, 37.411196, 51.02], [127.1405567, 37.4115647, 51.02], [127.1405616, 37.4117535, 51.45], [127.1405268, 37.4117622, 51.02], [127.140496, 37.4117699, 51.02], [127.140505, 37.4117917, 51.02], [127.1404399, 37.4118073, 51.02]]"
